Opcodes: 39,opcode (5-bit) group,funct4 (4-bit) operation,funct3 (3-bit) variant,rd (4-bit),rs1 (4-bit),rs2 (4-bit),imm[bits],Description,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LW,0x6,0x0,0x0,rd,rs1,-,imm[12],rd = MEM[rs1 + imm] — Loads 32-bit word from memory at address rs1 + imm[16] into register rd.,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
LH,0x6,0x1,0x0,rd,rs1,-,imm[12],rd = MEM[rs1 + imm] — Loads 16-bit half word from memory at address rs1 + imm[16] into register rd.,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
LB,0x6,0x2,0x0,rd,rs1,-,imm[12],rd = MEM[rs1 + imm] — Loads 8-bit byte from memory at address rs1 + imm[16] into register rd.,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
AND,0x7,0x0,0x0,rd,rs1,rs2,-,AND bitwise operation,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,r3,r3,r3,r3,padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8]
OR,0x7,0x1,0x0,rd,rs1,rs2,-,OR bitwise operation,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,r3,r3,r3,r3,padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8]
XOR,0x7,0x2,0x0,rd,rs1,rs2,-,XOR bitwise operation,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,r3,r3,r3,r3,padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8]
ANDI,0x7,0x0,0x1,rd,rs1,-,imm[12],AND with Immediate Bitwise Operation,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
ORI,0x7,0x1,0x1,rd,rs1,-,imm[12],OR with Immediate Bitwise Operation,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
XORI,0x7,0x2,0x1,rd,rs1,-,imm[12],XOR with Immediate Bitwise Operation,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
SLL,0x8,0x0,0x0,rd,rs1,rs2,-,Shift Left Logical - Shifts the bits in rs1 left by the amount in rs2. Fills in zeros from the right.,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,r3,r3,r3,r3,padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8]
SRL,0x8,0x1,0x0,rd,rs1,rs2,-,Shift RIght Logical - Shifts bits in rs1 right by amount in rs2. Fills in zeros from the left.,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,r3,r3,r3,r3,padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8]
SLLI,0x8,0x0,0x1,rd,rs1,-,imm[12],Shift Left Logical Immediate,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
SRLI,0x8,0x0,0x1,rd,rs1,-,imm[12],Shift RIght Logical Immediate,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
SYS,0x9,0x0,0x0,-,-,-,imm[8],System Calls,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,imm8,imm8,imm8,imm8,imm8,imm8,imm8,imm8,padding[12],padding[12],padding[12],padding[12],padding[12],padding[12],padding[12],padding[12],padding[12],padding[12],padding[12],padding[12]
PUSH,0xA,0x0,0x0,-,rs1,-,-,Push unto stack,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16]
POP,0xA,0x1,0x0,rd,-,-,-,Pops from stack,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16],padding[16]
CALL,0xA,0x2,0x0,-,-,-,imm[20],Call subroutine at target,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,imm20,imm20,imm20,imm20,imm20,imm20,imm20,imm20,imm20,imm20,imm20,imm20,imm20,imm20,imm20,imm20,imm20,imm20,imm20,imm20
RET,0xA,0x3,0x0,-,-,-,-,Returns from subroutine,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20]
